index,date,campaign,adgroup,ad,cost
0,01-03-2021,campaign 1,adgroup 1,ad 1,0.58
1,01-03-2021,campaign 1,adgroup 3,ad 1,0.17
2,01-03-2021,campaign 1,adgroup 4,ad 1,0.05
3,01-03-2021,campaign 1,adgroup 2,ad 1,0.01
4,01-03-2021,campaign 1,adgroup 2,ad 2,0.01
5,01-03-2021,campaign 1,adgroup 4,ad 2,0.03
6,01-03-2021,campaign 1,adgroup 1,ad 2,1.67
7,01-03-2021,campaign 1,adgroup 2,ad 3,0
8,01-03-2021,campaign 1,adgroup 3,ad 3,1.06
9,01-03-2021,campaign 1,adgroup 4,ad 3,0.08
10,01-03-2021,campaign 1,adgroup 1,ad 3,1.64
11,01-03-2021,campaign 1,adgroup 3,ad 4,0.17
12,01-03-2021,campaign 1,adgroup 3,ad 5,0.1
13,01-03-2021,campaign 1,adgroup 3,ad 6,0.88
14,01-03-2021,campaign 1,adgroup 2,ad 7,0.02
15,01-03-2021,campaign 1,adgroup 1,ad 7,0.3
16,01-03-2021,campaign 1,adgroup 3,ad 7,0.16
17,01-03-2021,campaign 1,adgroup 3,ad 8,0.98
18,01-03-2021,campaign 1,adgroup 1,ad 10,0.22
19,02-03-2021,campaign 1,adgroup 3,ad 1,0.24
20,02-03-2021,campaign 1,adgroup 4,ad 1,0
21,02-03-2021,campaign 1,adgroup 1,ad 1,0.65
22,02-03-2021,campaign 1,adgroup 2,ad 1,0.02
23,02-03-2021,campaign 1,adgroup 1,ad 2,1.57
24,02-03-2021,campaign 1,adgroup 4,ad 2,0
25,02-03-2021,campaign 1,adgroup 2,ad 2,0.02
26,02-03-2021,campaign 1,adgroup 1,ad 3,1.65
27,02-03-2021,campaign 1,adgroup 3,ad 3,1.36
28,02-03-2021,campaign 1,adgroup 4,ad 3,0.05
29,02-03-2021,campaign 1,adgroup 2,ad 3,0
30,02-03-2021,campaign 1,adgroup 3,ad 4,0.24
31,02-03-2021,campaign 1,adgroup 3,ad 5,0.07
32,02-03-2021,campaign 1,adgroup 3,ad 6,0.99
33,02-03-2021,campaign 1,adgroup 1,ad 7,0.46
34,02-03-2021,campaign 1,adgroup 3,ad 7,0.13
